SpellID,name,castingtime,CastOnYou,CastOnOther,Expired,classes,desc1,desc2,manacost,recasttime,resist
58,Elementalkin Earth,6,,,,MAG/5,Summon Pet: PCPetMagS01L005ElemErf,,40,1.5,Disease
59,Panic the Dead,2,Your bones tingle., has the fear of life put into them.,,CLR/26 SHD/54 NEC/25,Fear up to level 52,,50,4,Magic
60,Resist Fire,4.5,You feel resistant to fire., is resistant to fire.,Your fire resistance fades.,CLR/33 RNG/46 DRU/20 SHM/27,Increase Fire Resist by 11 (L20) to 50 (L31) ,,50,1.5,Unresistable
61,Resist Cold,4.5,You feel resistant to cold., is resistant to cold.,Your cold resistance fades.,CLR/38 RNG/55 SHD/35 DRU/30 SHM/24 NEC/24,Increase Cold Resist by 16 (L24) to 55 (L26) ,,50,1.5,Unresistable
62,Resist Poison,4.5,You feel resistant to poison., is resistant to poison.,Your poison resistance fades.,CLR/30 PAL/61 DRU/44 SHM/35 BST/54,,Increase Poison Resist by 11 (L30) to 50 (L31) ,50,1.5,Unresistable
63,Resist Disease,4.5,You feel resistant to disease., is resistant to disease.,Your disease resistance fades.,CLR/36 PAL/50 DRU/44 SHM/30 NEC/31 BST/51,Increase Disease Resist by 11 (L30) to 50 (L31) ,,50,1.5,Unresistable
64,Resist Magic,4.5,You feel resistant to magic., is resistant to magic.,Your magic resistance fades.,CLR/43 PAL/55 DRU/49 SHM/43 ENC/37,Increase Magic Resist by 11 (L37) to 50 (L31) ,,85,1.5,Unresistable
65,Major Shielding,5,You feel armored.,,Your shielding fades.,NEC/24 WIZ/23 MAG/24 ENC/23,Increase Max Hitpoints by 46 (L23) to 120 (L31) ,Increase AC by 9 (L23) to 27 (L29) ,80,1.5,Unresistable
66,Greater Shielding,6,You feel armored.,,Your shielding fades.,NEC/33 WIZ/33 MAG/32 ENC/31,Increase Max Hitpoints by 61 (L31) to 160 (L41) ,Increase AC by 11 (L31) to 33 (L40) ,120,1.5,Unresistable
67,Arch Shielding,12,You feel armored.,,Your shielding fades.,NEC/41 WIZ/44 MAG/43 ENC/40,Increase Max Hitpoints by 101 (L40) to 250 (L51) ,Increase AC by 12 (L40) to 39 (L49) ,200,1.5,Unresistable
68,Bolt of Flame,3,A stream of fire washes over you., is bathed in fire.,,MAG/18,Decrease Hitpoints by 225. Max: 297,,102,1.5,Fire
69,Cinder Bolt,4,A stream of fire washes over you., is bathed in fire.,,MAG/33,Decrease Hitpoints by 400. Max: 510,,165,1.5,Fire
70,Lava Bolt,5.5,A stream of fire washes over you., is bathed in fire.,,MAG/47,Decrease Hitpoints by 700. Max: 817,,238,1.5,Fire
71,Anarchy,3.5,Your world dissolves into anarchy.,'s world dissolves into anarchy.,,ENC/32,Decrease Hitpoints by 200. Max: 275,Stun (1.00 sec),99,1.5,Magic
72,Group Resist Magic,6,You feel protected from magic., is resistant to magic.,Your protection fades.,ENC/48,Increase Magic Resist by 6 (L48) to 60 (L51) ,,200,1.5,Unresistable
73,Gravity Flux,5.9,You experience chaotic weightlessness., rises chaotically into the air.,,WIZ/43 ENC/36,Decrease Hitpoints by 170. Max: 350,Toss Up (100),337,10,Magic
74,Mana Sieve,3,You feel your mental energies slip away., staggers with mental anguish.,,ENC/30,Decrease Mana by 16 (L30) to 380 (L61) ,,150,8,Magic
75,Sicken,2.5,You feel feverish.," sweats and shivers, looking feverish.",Your fever has broken.,SHM/4 BST/14,Increase Disease Counter by 1 ,Decrease Hitpoints by 1 per tick. Max: 11 per tick,11,1.5,Disease
76,Ensnaring Roots,2.5,Your feet become entwined., is entwined by roots.,The roots fall from your feet.,RNG/45 DRU/21,Decrease HP when cast by 11 (L21) to 70 (L51) ,Root,60,1.5,Magic
77,Engulfing Roots,2.5,Your feet become entwined., is entwined by roots.,The roots fall from your feet.,DRU/45,Decrease HP when cast by 13 (L45) to 170 (L51) ,Root,100,1.5,Magic
78,Immolate,2.5,You are surrounded by blazing flames., is surrounded by blazing flames.,The flames are extinguished.,RNG/44 DRU/25,,Decrease Hitpoints by 17 per tick. Max: 72 per tick,72,1.5,Fire
79,Spirit Sight,2,Your eyes tingle.,'s eyes tingle.,Your eyes stop tingling.,SHM/7 BST/29,See Invisible (1),,20,1.5,Unresistable
80,See Invisible,2,Your eyes tingle.,,Your eyes stop tingling.,RNG/32 DRU/13 WIZ/4 MAG/16 ENC/6,See Invisible (1),,25,1.5,Unresistable
81,Phantom Chain,5,You are covered in illusionary chainmail armor., dons chainmail armor.,Your illusionary armor fades.,MAG/25,,Increase Hitpoints by 2 per tick.  Max: None. Calculates to current max level,100,1.5,Unresistable
82,Phantom Plate,6,You are covered in illusionary platemail armor., dons platemail armor.,Your illusionary armor fades.,MAG/41,,Increase Hitpoints by 3 per tick.  Max: None. Calculates to current max level,200,1.5,Unresistable
83,Rain of Fire,3.5,Your skin blisters as fire rains down from above.,'s skin blisters as fire rains down from above.,,MAG/17,Decrease Hitpoints by 75.,,125,12,Fire
84,Shifting Sight,4,You shift your sight.,'s eyes gleam and then go dark.,Your shifting sight ends.,WIZ/38 ENC/20,Bind Sight,,30,1.5,Unresistable
85,Firestorm,2,Your skin blisters as fire rains down from above.,'s skin blisters as fire rains down from above.,,WIZ/12,Decrease Hitpoints by 41.,,34,12,Fire
86,Enduring Breath,4,You feel no need to breathe., doesn't seem to be breathing anymore.,You resume breathing.,RNG/20 DRU/6 SHM/12 ENC/12 BST/25,Water Breathing (1),,35,1.5,Unresistable
89,Daring,2.5,You feel daring., looks daring.,You no longer feel daring.,CLR/17 PAL/37,Increase AC by 5 (L17) to 14 (L27) ,Increase Max Hitpoints by 66 (L17) to 200 (L71) ,60,1.5,Unresistable
90,Shadow Sight,3,The shadows fade.,'s eyes glow violet.,Your shadow sight fades.,SHD/40 NEC/22,Ultravision,See Invisible (1),50,1.5,Unresistable
91,Ignite,2,You feel your skin ignite.,'s skin ignites.,,RNG/19 DRU/8,Decrease Hitpoints by 30. Max: 46,,21,1.5,Fire
92,Burst of Fire,1.5,You feel your skin singe as the Burst of Fire hits you., singes as the Burst of Fire hits them.,,RNG/14 DRU/3,Decrease Hitpoints by 10. Max: 14,,7,1.5,Fire
93,Burst of Flame,1.5,You feel your skin singe as the Burst of Flame hits you., singes as the Burst of Flame hits them.,,DRU/1 SHM/1 MAG/1,Decrease Hitpoints by 3. Max: 5,,4,1.5,Fire
94,Burn,1.5,You feel your skin blister and burn.,'s skin blisters and burns.,,MAG/4,Decrease Hitpoints by 9. Max: 14,,7,1.5,Fire
95,Counteract Poison,4,,,,CLR/22 PAL/34 RNG/61 DRU/28 SHM/26 BST/61,Decrease Poison Counter by 8 ,,50,1.5,Unresistable
96,Counteract Disease,4,,,,CLR/28 PAL/56 RNG/61 DRU/28 SHM/22 NEC/36 BST/45,Decrease Disease Counter by 8 ,,50,1.5,Unresistable
97,Abolish Poison,6,,,,CLR/48,Decrease Poison Counter by 36 ,,100,1.5,Unresistable
98,Abolish Disease,6,,,,SHM/48 BST/63,Decrease Disease Counter by 36 ,,100,1.5,Unresistable
99,Creeping Crud,3,You feel the pain of a thousand stings., is engulfed by a swarm.,The swarm departs.,DRU/24,Decrease Hitpoints by 53 per tick. Max: 85 per tick,,167,1.5,Magic
100,Summon Throwing Dagger,4,,,,MAG/15,Summon Item: Summoned: Throwing Dagger,,20,1.5,Unresistable
101,Summon Arrows,4,,,,MAG/20,Summon Item: Summoned: Arrow,,30,1.5,Unresistable
102,Spear of Warding,6,,,,MAG/20,Summon Item: Summoned: Spear of Warding,,60,6,Unresistable
103,Summon Coldstone,6,,,,MAG/29,Summon Item: Summoned: Coldstone,,40,6,Unresistable
104,Dagger of Symbols,6,,,,MAG/35,Summon Item: Summoned: Dagger of Symbols,,100,6,Unresistable
105,Summon Ring of Flight,6,,,,MAG/37,Summon Item: Summoned: Ring of Flight,,100,1.5,Unresistable
106,Burnout II,6.5,, goes berserk.,,MAG/29,,,75,1.5,Unresistable
107,Burnout III,6.5,, goes berserk.,,MAG/47,,,150,1.5,Unresistable
108,Elemental Shield,3,You feel protected from fire and ice., feels protected from fire and ice.,Your elemental shield fades.,WIZ/20 MAG/19,,Increase Cold Resist by 5 (L19) to 20 (L21) ,50,1.5,Unresistable
109,Elemental Armor,6,You feel protected from fire and ice., feels protected from fire and ice.,Your elemental armor fades.,WIZ/42 MAG/41,,Increase Cold Resist by 15 (L41) to 45 (L31) ,100,1.5,Unresistable
110,Malaise,3,You feel somewhat vulnerable., looks somewhat uncomfortable.,Your vulnerability fades.,SHM/18 MAG/22,,Decrease Cold Resist by 6 (L18) to 26 (L29) ,60,6,Magic
111,Malaisement,4,You feel vulnerable., looks uncomfortable.,Your vulnerability fades.,SHM/32 MAG/44,,Decrease Cold Resist by 20 (L32) to 60 (L41) ,100,6,Magic
112,Malosi,5,You feel very vulnerable., looks very uncomfortable.,Your vulnerability fades.,SHM/48 MAG/51,,Decrease Cold Resist by 11 (L48) to 70 (L51) ,175,6,Magic
113,Shock of Spikes,3,You have been lacerated., is lacerated by steel.,,MAG/23,Decrease Hitpoints by 150. Max: 227,,75,1.5,Magic
114,Shock of Swords,5,You have been lacerated., is lacerated by steel.,,MAG/41,Decrease Hitpoints by 450. Max: 584,,162,1.5,Magic
115,Dismiss Summoned,3,, staggers.,,CLR/37 RNG/33 DRU/23 MAG/25,Decrease Hitpoints by 180. Max: 244,,73,1.5,Magic
116,Banish Summoned,4,, staggers.,,CLR/56 DRU/43 MAG/48,Decrease Hitpoints by 400. Max: 540,,136,1.5,Magic
117,Dismiss Undead,2.5,, staggers.,,CLR/23 PAL/46 SHD/49 NEC/28,Decrease Hitpoints by 150. Max: 211,,63,1.5,Magic
118,Banish Undead,3.5,, staggers.,,CLR/43 NEC/46,Decrease Hitpoints by 270. Max: 468,,118,1.5,Magic
120,Blaze,4,You feel your skin ignite.,'s skin ignites.,,MAG/31,Decrease Hitpoints by 350. Max: 418,,136,1.5,Fire
121,Rain of Lava,5.5,Your skin blisters as lava rains down from above.,'s skin blisters as lava rains down from above.,,MAG/35,Decrease Hitpoints by 172.  Max: None. Calculates to current max level.,,250,12,Fire
122,Flame Arc,5.3,Flames race across your body., is covered in flames.,,MAG/39,Decrease Hitpoints by 93. Max: 181,,199,7,Fire
123,Holy Might,2,You are struck by a sudden force., is struck by a sudden force.,You are no longer stunned.,CLR/16 PAL/42,Stun (6.00 sec/55),Decrease Hitpoints by 10. Max: 60,60,18,Magic
124,Force,2.5,You are struck by a sudden force., is struck by a sudden force.,You are no longer stunned.,CLR/31 PAL/52,Stun (6.00 sec/58),Decrease Hitpoints by 40. Max: 90,90,18,Magic
125,Sound of Force,3,You are struck by a sudden force., is struck by a sudden force.,You are no longer stunned.,CLR/46,Stun (8.00 sec/55),Decrease Hitpoints by 220.,120,24,Magic
126,Inspire Fear,4,Your mind fills with fear., looks very afraid.,You are no longer afraid.,CLR/21,Fear up to level 52,,80,8,Magic
127,Invoke Fear,2.5,Your mind fills with fear., looks very afraid.,You are no longer afraid.,CLR/36 SHD/43 NEC/30 ENC/35,Fear up to level 52,,100,7,Magic
128,Wave of Fear,4.5,Your mind fills with fear., looks very afraid.,You are no longer afraid.,CLR/21,Fear up to level 52,,90,9,Magic
129,Shield of Brambles,2.5,You are surrounded by a thorny barrier., is surrounded by a thorny barrier.,The brambles fall away.,RNG/43 DRU/27,Increase Damage Shield by 4 (L27) to 16 (L33) ,,80,1.5,Magic
130,Divine Barrier,1,You are surrounded by a divine barrier., is surrounded by a divine barrier.,The barrier fades.,CLR/29,Invulnerability,,100,900,Unresistable
131,Instill,2.5,Your feet adhere to the ground., adheres to the ground.,Your feet come free.,CLR/27 PAL/54 SHM/33 NEC/53 WIZ/17 ENC/25,,Root,60,1.5,Magic
132,Immobilize,1.75,Your feet adhere to the ground., adheres to the ground.,Your feet come free.,CLR/46 SHM/51 NEC/58 WIZ/39 ENC/39,,Root,80,1.5,Magic
133,Paralyzing Earth,2.5,Your feet adhere to the ground., adheres to the ground.,Your feet come free.,CLR/56 SHM/56 NEC/46 WIZ/48 ENC/45,,Root,100,1.5,Magic
134,Blinding Luminance,1.5,You are blinded by a flash of light., is blinded by a flash of light.,Your sight returns.,CLR/34 SHM/39,Blindness (-1),Decrease ATK by 5 ,50,3,Magic
135,Word of Health,3.5,You feel much better., feels much better.,,CLR/30,Increase Hitpoints by 170. Max: 485,,302,1.5,Unresistable
136,Word of Healing,4,You feel much better., feels much better.,,CLR/45,Increase Hitpoints by 208. Max: 758,,425,1.5,Unresistable
137,Pack Regeneration,6,You begin to regenerate., begins to regenerate.,You have stopped regenerating.,DRU/39,Increase Hitpoints by 0 per tick. Max: 9 per tick,,200,6,Unresistable
138,Pack Chloroplast,9,You begin to regenerate., begins to regenerate.,You have stopped regenerating.,DRU/45,Increase Hitpoints by 6 per tick. Max: 19 per tick,,400,12,Unresistable
139,Feral Spirit,6.5,, foams at the mouth.,,DRU/18,,,50,1.5,Unresistable
140,Savage Spirit,6.5,,'s eyes gleam with madness.,,DRU/41,,,100,1.5,Unresistable
141,Beguile Animals,6,, blinks.,,DRU/33,Charm up to level 43,,170,12,Magic
142,Allure of the Wild,9,, blinks.,,DRU/43,Charm up to level 49,,220,24,Magic
143,Sunbeam,3,You are blinded by a sunbeam., is blinded by a sunbeam.,Your sight returns.,DRU/22,Blindness (-1),,40,12,Magic
144,Regeneration,6,You begin to regenerate., begins to regenerate.,You have stopped regenerating.,DRU/34 SHM/23,Increase Hitpoints by 0 per tick. Max: 9 per tick,,100,1.5,Unresistable
145,Chloroplast,6,You begin to regenerate., begins to regenerate.,You have stopped regenerating.,RNG/55 DRU/42 SHM/39 BST/55,Increase Hitpoints by 6 per tick. Max: 19 per tick,,200,1.5,Unresistable
146,Spirit of Monkey,5,You feel the spirit of monkey enter you., is surrounded by a brief simian aura.,The spirit of monkey leaves.,SHM/21 BST/38,Increase DEX by 9 (L21) to 29 (L23) ,,40,1.5,Unresistable
147,Spirit Strength,5,You feel stronger., looks stronger.,Your strength fades.,SHM/18 BST/28,Increase STR by 7 (L18) to 25 (L23) ,,40,1.5,Unresistable
148,Spirit of Cat,5,You feel the spirit of cat enter you., is surrounded by a brief feline aura.,The spirit of cat leaves you.,SHM/18,Increase AGI by 5 (L18) to 31 (L24) ,,60,1.5,Unresistable
149,Spirit of Ox,5,You feel the spirit of ox enter you., is surrounded by a brief bovine aura.,The spirit of ox leaves you.,SHM/21 BST/37,Increase STA by 9 (L21) to 32 (L29) ,,60,1.5,Unresistable
150,Alluring Aura,5,You feel alluring., is surrounded by an alluring aura.,Your aura fades.,SHM/28,Increase CHA by 6 (L28) to 29 (L35) ,,60,1.5,Unresistable
151,Raging Strength,3.5,You feel stronger., looks stronger.,Your strength fades.,SHM/28 BST/41,Increase STR by 9 (L28) to 35 (L35) ,,60,1.5,Unresistable
152,Deftness,5,You feel dexterous., looks dexterous.,Your dexterity fades.,SHM/39 BST/53,Increase DEX by 2 (L39) to 41 (L40) ,,80,1.5,Unresistable
153,Furious Strength,5,You feel stronger., looks stronger.,Your strength fades.,SHM/39 BST/54,Increase STR by 12 (L39) to 46 (L45) ,,80,1.5,Unresistable
154,Agility,5,You feel agile., looks agile.,Your agility fades.,SHM/41,Increase AGI by 21 (L41) to 66 (L49) ,,100,1.5,Unresistable
155,Glamour,5,You feel glamorous., looks glamorous.,Your charisma fades.,SHM/37,Increase CHA by 10 (L37) to 42 (L45) ,,80,1.5,Unresistable
156,Charisma,5,You feel charismatic., looks charismatic.,Your charisma fades.,SHM/47,Increase CHA by 40 ,,100,1.5,Unresistable
157,Dexterity,5,You feel dexterous., looks dexterous.,Your dexterity fades.,SHM/48 BST/57,Increase DEX by 2 (L48) to 51 (L50) ,,100,1.5,Unresistable
158,Stamina,5,You feel robust., looks robust.,Your stamina fades.,SHM/43 BST/57,Increase STA by 15 (L43) to 55 (L51) ,,100,1.5,Unresistable
159,Strength,5,You feel strong., looks strong.,Your strength fades.,SHM/46,Increase STR by 42 (L46) to 109 (L51) ,,100,1.5,Unresistable
160,Nimble,5,You feel nimble., looks nimble.,Your agility fades.,SHM/31,Increase AGI by 16 (L31) to 52 (L41) ,,80,1.5,Unresistable
161,Health,5,You feel healthy., looks healthy.,Your health fades.,SHM/30 BST/52,Increase STA by 12 (L30) to 43 (L39) ,,80,1.5,Unresistable
162,Listless Power,2.75,You feel frail., looks frail.,You feel your strength return.,SHM/29 ENC/25 BST/44,,Decrease AGI by 10 (L25) to 45 (L51) ,90,1.5,Magic
163,Incapacitate,3.25,You feel frail., looks frail.,You feel your strength return.,SHM/41 ENC/40 BST/56,,Decrease AGI by 6 (L40) to 60 (L51) ,150,1.5,Magic
164,Companion Spirit,10,You summon a companion spirit., summons a companion spirit.,,SHM/32,Summon Pet: PCPetShmS07L032WolfGho,,350,20,Unresistable
165,Guardian Spirit,14,You summon a guardian spirit., summons a guardian spirit.,,SHM/41,Summon Pet: PCPetShmS09L041WolfGho,,450,28,Unresistable
166,Frenzied Spirit,16,You summon a frenzied spirit., summons a frenzied spirit.,,SHM/45,Summon Pet: PCPetShmS09L045WolfGho,,500,32,Unresistable
167,Talisman of Tnarg,5,You feel tough., looks tougher.,Your hit points fade.,SHM/32 BST/53,Increase Max Hitpoints by 101 (L32) to 250 (L51) ,Increase HP when cast by 101 (L32) to 250 (L51) ,125,5,Unresistable
168,Talisman of Altuna,8,You feel tough., looks tougher.,Your hit points fade.,SHM/40 BST/58,Increase Max Hitpoints by 152 (L40) to 400 (L51) ,Increase HP when cast by 152 (L40) to 400 (L51) ,250,7.5,Unresistable
169,Pack Spirit,6.5,You feel the spirit of wolf enter you., is surrounded by a brief lupine aura.,The spirit of wolf leaves you.,DRU/35,,Increase Movement by 30% (L35) to 85% (L51) ,120,9,Unresistable
170,Alacrity,4,You feel much faster., feels much faster.,Your speed returns to normal.,SHM/42 ENC/21 BST/60,Increase Attack Speed by 22% (L21) to 62% (L37) ,,115,1.5,Unresistable
171,Celerity,8,You feel much faster., feels much faster.,Your speed returns to normal.,SHM/56 ENC/39 BST/63,Increase Attack Speed by 28% (L39) to 78% (L45) ,,185,1.5,Unresistable
172,Swift Like the Wind,8,You feel much faster., feels much faster.,Your speed returns to normal.,SHM/63 ENC/47,Increase Attack Speed by 60% ,,250,1.5,Unresistable
173,Benevolence,4,You feel quite amicable., looks friendly.,You no longer feel amicable.,ENC/20,Increase Faction by 200 ,,50,3.5,Magic
174,Clarity,3.1,A cool breeze slips through your mind., looks tranquil.,The cool breeze fades.,ENC/26,,Increase Mana by 1 (L26) to 10 (L33) per tick,75,1.5,Unresistable
175,Insight,4.25,Your mind fills with wisdom., looks wise.,Your wisdom fades.,ENC/35,Increase WIS by 1 (L35) to 15 (L53) ,,125,1.5,Unresistable
176,Berserker Spirit,3,Your spirit screams with berserker strength., lets loose a berserk yell.,The berserker spirit fades.,ENC/47,Increase STR by 40 ,Increase Absorb Damage by 200 ,150,12,Unresistable
177,Color Shift,1.5,Scintillating colors pound through your brain., is stunned by scintillating colors.,The pretty colors fade.,ENC/20,Stun (6.00 sec),,40,12,Magic
178,Color Skew,2,Scintillating colors pound through your brain., is stunned by scintillating colors.,The pretty colors fade.,ENC/43,Stun (8.00 sec),,60,12,Magic
179,Feckless Might,2.5,You feel weak., is weakened.,Your strength returns.,ENC/19,Decrease STR by 16 (L19) to 46 (L29) ,,45,1.5,Magic
180,Insipid Weakness,3,You feel weak., is weakened.,Your strength returns.,ENC/34,Decrease STR by 2 (L34) to 52 (L51) ,,80,1.5,Magic
